#
# Shellcode detector
#
Executed before
0x77CCAF24::ntdll.dll  8B E6                   mov esp, esi
0x77CCAF26::ntdll.dll  5B                      pop ebx
0x77CCAF27::ntdll.dll  5F                      pop edi
0x77CCAF28::ntdll.dll  5E                      pop esi
0x77CCAF29::ntdll.dll  5D                      pop ebp
0x77CCAF2A::ntdll.dll  C2 10 00                ret 0x10
0x77CCFD2E::ntdll.dll  88 45 E7                mov byte ptr [ebp-0x19], al
0x77CCFD31::ntdll.dll  89 5D FC                mov dword ptr [ebp-0x4], ebx
0x77CCFD34::ntdll.dll  E8 48 00 00 00          call 0x77ccfd81 -> RtlGetVersion
0x77CCFD81::ntdll.dll  8D 4D 98                lea ecx, ptr [ebp-0x68]
0x77CCFD84::ntdll.dll  E8 A1 25 FF FF          call 0x77cc232a -> RtlDeactivateActivationContextUnsafeFast
0x77CC232A::ntdll.dll  8B FF                   mov edi, edi
0x77CC232C::ntdll.dll  55                      push ebp
0x77CC232D::ntdll.dll  8B EC                   mov ebp, esp
0x77CC232F::ntdll.dll  83 EC 5C                sub esp, 0x5c
0x77CC2332::ntdll.dll  64 A1 18 00 00 00       mov eax, dword ptr fs:[0x18]
0x77CC2338::ntdll.dll  56                      push esi
0x77CC2339::ntdll.dll  57                      push edi
0x77CC233A::ntdll.dll  8B B8 A8 01 00 00       mov edi, dword ptr [eax+0x1a8]
0x77CC2340::ntdll.dll  33 F6                   xor esi, esi
0x77CC2342::ntdll.dll  89 4D F4                mov dword ptr [ebp-0xc], ecx
0x77CC2345::ntdll.dll  3B FE                   cmp edi, esi
0x77CC2347::ntdll.dll  0F 84 13 F5 FD FF       jz 0x77ca1860
0x77CC234D::ntdll.dll  8B 07                   mov eax, dword ptr [edi]
0x77CC234F::ntdll.dll  8B 51 10                mov edx, dword ptr [ecx+0x10]
0x77CC2352::ntdll.dll  F6 C2 40                test dl, 0x40
0x77CC2355::ntdll.dll  0F 85 87 F2 02 00       jnz 0x77cf15e2
0x77CC235B::ntdll.dll  F6 C2 20                test dl, 0x20
