0x00404F6D 0F 01 4D F8         sidt ptr [ebp-0x8]
Anti-VMWare:		SIDT spotted. Detected the SIDT/Redpill Technique

0x00404FA3 81 7D F8 00 00 AD DE      cmp dword ptr [ebp-0x8], 0xdead0000
Anti-VMWare:		0xdead0000 spotted. Detected the SLDT Technique

0x00405181 B8 68 58 4D 56        mov eax, 0x564d5868
Anti-VMWare:  	0x564d5868 spotted. Detected the IN Technique

0x00405196 81 FB 68 58 4D 56       cmp ebx, 0x564d5868
Anti-VMWare:  	0x564d5868 spotted. Detected the IN Technique

0x00405181 B8 68 58 4D 56        mov eax, 0x564d5868
Anti-VMWare:  	0x564d5868 spotted. Detected the IN Technique

0x00405196 81 FB 68 58 4D 56       cmp ebx, 0x564d5868
Anti-VMWare:  	0x564d5868 spotted. Detected the IN Technique

0x0012FF54 0F 01 0D 4C FF 12 00      sidt ptr [0x12ff4c]
Anti-VMWare:		SIDT spotted. Detected the SIDT/Redpill Technique



Anti-VMWare:		Checking for vm environment (VMWare, VMTools in registry)
Anti-Virtualization:	Checking on virtual disk in registry.
Anti-VirtualBox:		Checking for Vbox environment in registry.

